Year, Semester, CouseCode, CourseName, TotalStudents, StudentsTaken, Rate
2002,1,GEK10001,채플(한국어) 1,0,59,51.3%
2002,2,GEK10001,채플(한국어) 1,0,1,1.0%
2003,1,GEK10001,채플(한국어) 1,0,50,40.0%
2004,1,GEK10001,채플(한국어) 1,0,6,6.3%
